ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1
 1 ,67,0,0,0,0,0,0,0,0,0,0,31
 2 ,67,0,62,4,0,0,0,0,0,0,-16,31
 3 ,55,0,0,0,0,0,0,0,0,0,0,31
 4 ,63,0,231,1,1,-1,3,0,167,-8,21996,0
 5 ,57,0,43,-1,0,0,0,0,0,0,9,31
 6 ,58,0,138,-10,0,0,0,0,43,0,-33,0
 7 ,57,0,180,-5,1,1,3,3,13,-1,907,0
 8 ,46,0,116,-11,0,0,0,0,0,0,38,6
 9 ,56,0,78,-7,1,-2,3,0,-9,1,0,7
 10 ,56,0,78,-37,0,0,0,0,-7,0,30,14
 11 ,53,0,91,-1,0,0,0,0,14,3,0,0
 12 ,56,0,40,14,0,0,0,0,0,0,15,31
 13 ,57,0,215,15,0,0,0,0,71,9,8658,0
 14 ,57,0,0,0,0,0,0,0,0,0,0,31
 15 ,55,0,118,63,0,0,0,0,5,1,995,0
 16 ,56,0,59,16,0,0,0,0,0,0,4,31
 17 ,52,0,67,25,0,0,0,0,4,0,77,31
 18 ,55,0,0,0,0,0,0,0,0,0,-2,31
 19 ,54,0,258,-4,1,0,3,0,34,6,149,0
 20 ,54,0,89,-12,1,1,3,3,-41,-8,-29,0
 21 ,54,0,0,0,0,0,0,0,0,0,0,31
 22 ,54,0,142,1,0,0,0,0,26,1,-4,13
 23 ,53,0,86,10,0,0,0,0,2,0,-53,-31
 24 ,53,0,100,5,0,-1,0,-3,0,0,-8,2
 25 ,53,0,103,-12,0,0,0,0,-6,-1,40,-1
 26 ,46,0,75,0,0,0,0,0,0,0,10,30
 27 ,53,0,182,8,8,6,3,-1,38,1,671,0
 28 ,53,0,230,0,0,0,0,0,84,3,13043,0
 29 ,52,0,179,-22,2,1,3,0,10,-2,5,-1
 30 ,53,0,48,-10,0,0,0,0,-15,0,12,-18
 31 ,52,0,99,-6,0,0,0,0,-8,0,-23,-31
 32 ,32,0,67,28,0,0,0,0,0,0,0,31
 33 ,52,0,160,10,3,3,3,3,12,0,481,4
 34 ,52,0,91,50,4,1,3,0,26,0,0,-11
 35 ,52,0,105,1,0,0,0,0,14,1,0,0
 36 ,52,0,93,-29,0,0,0,0,-7,1,4682,0
 37 ,51,0,143,-32,4,1,3,0,61,-1,67,0
 38 ,50,0,108,40,1,1,3,3,43,0,16,0
 39 ,52,0,168,-5,8,-3,3,0,62,2,589,-31
 40 ,52,0,186,-4,2,1,3,-1,86,-3,2139,4
 41 ,52,0,75,0,0,0,0,0,8,0,0,0
 42 ,51,0,25,0,0,0,0,0,0,0,0,31
 43 ,49,0,124,34,0,0,0,0,10,0,-188,31
 44 ,43,0,147,-7,1,1,3,3,-25,-2,138,-1
 45 ,51,0,134,1,3,2,3,0,10,0,0,0
 46 ,51,0,77,-1,0,0,0,0,-1,0,-81,-6
 47 ,48,0,57,-2,0,0,0,0,0,0,2379,31
 48 ,50,0,115,0,0,0,0,0,0,0,-300,31
 49 ,44,0,51,-1,1,-1,3,0,-12,0,0,-133
 50 ,49,0,85,0,0,0,0,0,1,0,0,-12
 51 ,49,0,1,0,0,0,0,0,0,0,0,31
 52 ,45,0,87,-3,1,1,3,3,9,0,0,-143
 53 ,49,0,210,2,2,-3,3,-1,181,-3,724,0
 54 ,47,1,122,2,3,-6,3,0,-31,0,122,0
 55 ,48,0,3,0,0,0,0,0,0,0,0,30
 56 ,49,0,179,14,1,1,3,3,54,-1,-124,-1
 57 ,49,0,0,-21,0,0,0,0,-8,0,0,4
 58 ,35,0,152,0,0,0,0,0,-13,0,82,0
 59 ,46,0,0,0,0,0,0,0,0,0,0,31
 60 ,47,1,0,-26,0,0,0,0,-7,0,0,-53
 61 ,47,0,7,7,0,0,0,0,4,0,0,31
 62 ,48,0,14,14,0,0,0,0,4,0,-5,31
