ID,Longevity - Months,Churn,Happiness Index - Current Month,Happiness Index - Change,Support Cases - Current Month,Support Cases - Change,Support Priority - Current Month,Support Priority - Change,Logins - Change,Blogs - Change,Views - Change,Days Since Last Login - Change
0,67,0,0,0,0,0,0,0,0,0,0,31
1,67,0,62,4,0,0,0,0,0,0,-16,31
2,55,0,0,0,0,0,0,0,0,0,0,31
3,63,0,231,1,1,-1,3,0,167,-8,21996,0
4,57,0,43,-1,0,0,0,0,0,0,9,31
5,58,0,138,-10,0,0,0,0,43,0,-33,0
6,57,0,180,-5,1,1,3,3,13,-1,907,0
7,46,0,116,-11,0,0,0,0,0,0,38,6
8,56,0,78,-7,1,-2,3,0,-9,1,0,7
9,56,0,78,-37,0,0,0,0,-7,0,30,14
10,53,0,91,-1,0,0,0,0,14,3,0,0
11,56,0,40,14,0,0,0,0,0,0,15,31
12,57,0,215,15,0,0,0,0,71,9,8658,0
13,57,0,0,0,0,0,0,0,0,0,0,31
14,55,0,118,63,0,0,0,0,5,1,995,0
15,56,0,59,16,0,0,0,0,0,0,4,31
16,52,0,67,25,0,0,0,0,4,0,77,31
17,55,0,0,0,0,0,0,0,0,0,-2,31
18,54,0,258,-4,1,0,3,0,34,6,149,0
19,54,0,89,-12,1,1,3,3,-41,-8,-29,0
20,54,0,0,0,0,0,0,0,0,0,0,31
21,54,0,142,1,0,0,0,0,26,1,-4,13
22,53,0,86,10,0,0,0,0,2,0,-53,-31
23,53,0,100,5,0,-1,0,-3,0,0,-8,2
24,53,0,103,-12,0,0,0,0,-6,-1,40,-1
25,46,0,75,0,0,0,0,0,0,0,10,30
26,53,0,182,8,8,6,3,-1,38,1,671,0
27,53,0,230,0,0,0,0,0,84,3,13043,0
28,52,0,179,-22,2,1,3,0,10,-2,5,-1
29,53,0,48,-10,0,0,0,0,-15,0,12,-18
30,52,0,99,-6,0,0,0,0,-8,0,-23,-31
31,32,0,67,28,0,0,0,0,0,0,0,31
32,52,0,160,10,3,3,3,3,12,0,481,4
33,52,0,91,50,4,1,3,0,26,0,0,-11
34,52,0,105,1,0,0,0,0,14,1,0,0
35,52,0,93,-29,0,0,0,0,-7,1,4682,0
36,51,0,143,-32,4,1,3,0,61,-1,67,0
37,50,0,108,40,1,1,3,3,43,0,16,0
38,52,0,168,-5,8,-3,3,0,62,2,589,-31
39,52,0,186,-4,2,1,3,-1,86,-3,2139,4
40,52,0,75,0,0,0,0,0,8,0,0,0
41,51,0,25,0,0,0,0,0,0,0,0,31
42,49,0,124,34,0,0,0,0,10,0,-188,31
43,43,0,147,-7,1,1,3,3,-25,-2,138,-1
44,51,0,134,1,3,2,3,0,10,0,0,0
45,51,0,77,-1,0,0,0,0,-1,0,-81,-6
46,48,0,57,-2,0,0,0,0,0,0,2379,31
47,50,0,115,0,0,0,0,0,0,0,-300,31
48,44,0,51,-1,1,-1,3,0,-12,0,0,-133
49,49,0,85,0,0,0,0,0,1,0,0,-12
50,49,0,1,0,0,0,0,0,0,0,0,31
51,45,0,87,-3,1,1,3,3,9,0,0,-143
52,49,0,210,2,2,-3,3,-1,181,-3,724,0
53,47,1,122,2,3,-6,3,0,-31,0,122,0
54,48,0,3,0,0,0,0,0,0,0,0,30
55,49,0,179,14,1,1,3,3,54,-1,-124,-1
56,49,0,0,-21,0,0,0,0,-8,0,0,4
57,35,0,152,0,0,0,0,0,-13,0,82,0
58,46,0,0,0,0,0,0,0,0,0,0,31
59,47,1,0,-26,0,0,0,0,-7,0,0,-53
60,47,0,7,7,0,0,0,0,4,0,0,31
61,48,0,14,14,0,0,0,0,4,0,-5,31
62,47,0,53,-27,0,0,0,0,-4,0,41,4
63,48,0,39,-52,0,0,0,0,-1,0,33,-5
64,48,0,103,4,0,-3,0,-3,14,0,-9,0
65,13,1,122,31,6,4,3,0,94,4,-1,-9
66,48,0,109,50,0,-1,0,-2,2,1,-221,13
67,43,0,0,0,1,1,2,2,0,0,0,31
68,46,0,10,10,0,0,0,0,10,0,0,31
69,47,0,145,10,0,0,0,0,38,0,-5083,0
70,48,0,108,33,0,0,0,0,6,0,993,31
71,45,0,45,0,0,0,0,0,7,0,-13,3
72,47,0,193,0,0,0,0,0,47,1,83,-1
73,47,0,101,39,0,0,0,0,24,1,-2,2
74,47,0,17,-10,0,0,0,0,-4,0,2,-10
75,45,0,1,-70,0,0,0,0,-7,-1,0,3
76,46,0,158,2,0,-1,0,-3,5,-4,12,3
77,38,0,198,-15,0,0,0,0,21,0,-172,0
78,38,0,77,-2,0,0,0,0,-3,0,716,-1
79,47,0,82,0,0,0,0,0,11,0,0,3
80,46,0,94,10,1,1,3,3,42,0,-63,-24
81,28,0,152,-4,0,0,0,0,19,0,9,-2
82,46,0,125,15,1,1,3,3,11,0,-100,3
83,47,0,35,0,0,0,0,0,0,0,0,9
84,43,0,166,-1,0,0,0,0,10,-1,1304,-1
85,46,0,61,-11,1,1,3,3,10,0,-35,15
86,42,0,97,2,0,-1,0,-3,-28,0,0,0
87,46,0,74,0,0,0,0,0,1,0,0,-3
88,46,0,4,4,1,1,2,2,10,0,0,31
89,46,0,145,0,0,0,0,0,98,0,629,0
90,45,0,75,-17,0,0,0,0,-1,-1,0,-3
91,46,0,79,13,0,0,0,0,-4,0,4,-22
92,46,0,175,10,0,0,0,0,22,0,-1419,0
93,44,1,0,-12,0,0,0,0,-1,0,0,-90
94,46,0,6,6,0,0,0,0,10,0,0,31
95,46,0,85,-36,0,0,0,0,2,-1,-37,-4
96,45,0,59,41,0,0,0,0,0,0,-57,31
97,46,0,109,-13,0,0,0,0,1,-2,158,-9
98,44,0,87,45,0,0,0,0,10,1,-4,30
99,45,0,161,-10,0,0,0,0,-10,-4,71,0
100,41,0,0,0,0,0,0,0,0,0,5,31
101,45,0,169,-8,9,-5,3,0,54,0,345,0
102,44,0,88,22,0,-1,0,-3,30,0,-5,2
103,28,0,0,0,0,0,0,0,0,0,0,31
104,42,1,26,-13,0,0,0,0,0,0,16,-5
105,38,0,0,0,0,0,0,0,0,0,0,30
106,45,0,155,-6,0,0,0,0,-1,-4,127,0
107,45,0,71,-11,0,0,0,0,-15,-1,0,0
108,40,0,0,-125,0,0,0,0,-8,0,-216,6
109,44,0,0,-6,0,0,0,0,-10,0,0,-72
110,29,0,103,-8,0,0,0,0,3,3,15,-70
111,45,0,39,23,0,0,0,0,2,0,0,31
112,43,0,42,10,0,0,0,0,6,0,-6,30
113,45,0,73,-6,0,0,0,0,6,0,-1,-24
114,45,0,58,38,0,0,0,0,6,0,-20,5
115,45,0,68,-7,1,1,0,0,22,0,-7,31
116,45,0,89,-5,0,-2,0,-3,-61,0,1013,0
117,45,0,138,4,0,0,0,0,-8,0,534,-29
118,42,0,0,0,0,0,0,0,0,0,0,31
119,45,0,90,0,0,0,0,0,7,0,-73,0
120,45,0,0,0,0,0,0,0,0,0,0,31
121,43,0,48,-11,0,0,0,0,-3,0,0,3
122,44,0,10,-25,0,-1,0,-2,-4,0,-5,18
123,44,0,106,0,0,0,0,0,7,0,30,4
124,44,0,128,35,0,-3,0,-3,-7,1,0,-15
125,45,0,90,-5,0,0,0,0,21,0,-39,2
126,45,0,47,-21,0,0,0,0,-12,0,0,3
127,41,0,31,-26,0,0,0,0,0,0,-32,31
128,45,0,191,-1,0,0,0,0,12,-1,-28,0
129,45,0,45,10,0,0,0,0,9,0,0,2
130,45,0,121,90,1,1,3,3,184,4,17,-7
