ID,Blogs - Change,Customer Activity - Change,Days Since Last Login - Change,Happiness Index - Change,Happiness Index - Current Month,Happiness Index - Monthly,Logins - Change,Longevity - Modulo 12,Longevity - Modulo 18,Longevity - Modulo 24,Longevity - Modulo 6,Longevity - Months,Support Cases - Change,Support Cases - Current Month,Support Priority - Change,Support Priority - Current Month,Views - Change,Churn
0,-0.0224298343162,-0.169324425345,31.0,0.0,0.0,0.0,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,0
2,-0.0224298343162,-0.169324425345,31.0,0.0,0.0,0.0,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,0
3,-4.21254961827,-1.33221966752,0.0,1.0,231.0,21.0,0.143928556723,11.0,11.0,11.0,5.0,11.0,1,1,0,1,0.0719620589893,0
6,-0.546194807311,0.247849577357,0.0,-5.0,180.0,16.3636363636,0.0464058209169,11.0,11.0,11.0,5.0,11.0,1,1,1,1,1.24333771846,0
7,-0.0224298343162,-0.151022195256,6.0,-11.0,116.0,10.5454545455,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0122915931615,0
26,0.501335138678,0.781277038779,0.0,8.0,182.0,16.5454545455,0.940157704008,11.0,11.0,11.0,5.0,11.0,1,1,1,1,0.90233827365,0
38,1.02510011167,1.20237167972,-31.0,-5.0,168.0,15.2727272727,1.79815951178,11.0,11.0,11.0,5.0,11.0,1,1,0,1,0.783855415706,0
49,-0.0224298343162,-0.15740773357,-12.0,0.0,85.0,7.72727272727,-0.382595082967,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,0
51,-0.0224298343162,-0.062074199374,1.76461320309,-3.0,87.0,7.90909090909,-0.0965944803776,11.0,11.0,11.0,5.0,11.0,1,1,1,1,-0.0671982834283,0
53,-0.0224298343162,-0.479982079018,0.0,2.0,122.0,11.0909090909,-1.52659749332,11.0,11.0,11.0,5.0,11.0,1,1,0,1,0.109081090586,1
59,-0.0224298343162,-0.252741267767,1.76461320309,-26.0,0.0,0.0,-0.668595685556,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,1
65,2.07263005766,1.64871626115,-9.0,31.0,122.0,9.38461538462,2.94216192213,1.0,13.0,13.0,1.0,13.0,1,1,0,1,-0.06864319633,1
73,0.501335138678,0.290301226308,2.0,39.0,101.0,9.18181818182,0.439656649477,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0700881092318,0
83,-0.0224298343162,-0.169324425345,9.0,0.0,35.0,3.18181818182,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,0
91,-0.0224298343162,-0.215064641907,-22.0,13.0,79.0,7.18181818182,-0.561345459585,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0614186318212,0
93,-0.0224298343162,-0.18124111712,1.76461320309,-12.0,0.0,0.0,-0.454095233614,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,1
96,-0.0224298343162,-0.196777770478,31.0,41.0,59.0,5.36363636364,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.149558318828,0
104,-0.0224298343162,-0.161618223202,-5.0,-13.0,26.0,2.36363636364,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0440796770002,1
113,-0.0224298343162,-0.0983059123316,-24.0,-6.0,73.0,6.63636363636,-0.203844706349,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.06864319633,0
120,-0.0224298343162,-0.169324425345,31.0,0.0,0.0,0.0,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,0
126,-0.0224298343162,-0.31232472664,3.0,-21.0,47.0,4.27272727273,-0.847346062174,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,0
127,-0.0224298343162,-0.18473682963,31.0,-26.0,31.0,2.81818181818,-0.41834515829,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.113435496284,0
142,0.501335138678,0.17209758383,0.0,0.0,59.0,5.36363636364,0.0821558962406,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0671982834283,0
147,-0.0224298343162,-0.0557040197195,31.0,-1.0,116.0,10.5454545455,0.0106557455933,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.155337970435,0
157,-0.0224298343162,-0.145009404162,5.0,-12.0,33.0,3.0,-0.346845007643,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0657533705265,0
166,-0.0224298343162,-0.0754358040503,-2.0,-61.0,83.0,7.54545454545,-0.132344555701,11.0,11.0,11.0,5.0,11.0,0,0,0,0,-0.0715330221335,0
