Longevity,Churn,HappinessIndex,ChangeHappinessIndex,SupportCases,ChangeSupportCases,SupportPriority,ChangeSupportPriority,ChangeNumberLogins,ChangeNumberBlogs,ChangeNumberViews,DaysLastLogin,HasSP,HasChangeSP,HasNullHI,PreviousHappinessIndex,IsRatedHI,HasSC,HasChangeSC,HasChangeNBlogs,HasChangeNViews,LongevityFlip,Longevity6,Longevity12,Longevity18,Longevity24,CustomerActivity1,CustomerActivity2,IsActive,MonthlyHappinessIndex
58,0,138,-10,0,0,0,0,43,0,-33,0,0,0,0,148,1,0,0,0,1,9,4,10,4,10,0.118630763584,0.143185634795,1,2.37931034483
57,0,215,15,0,0,0,0,71,9,8658,0,0,0,0,200,1,0,0,1,1,10,3,9,3,9,1.45683030043,1.48138517164,0,3.77192982456
53,0,182,8,8,6,3,-1,38,1,671,0,1,1,0,174,1,1,1,1,1,14,5,5,17,5,0.198424347147,0.222979218358,1,3.43396226415
53,0,230,0,0,0,0,0,84,3,13043,0,0,0,0,230,1,0,0,1,1,14,5,5,17,5,1.55989562735,1.58445049856,0,4.33962264151
52,0,179,-22,2,1,3,0,10,-2,5,-1,1,0,0,201,1,1,1,1,1,15,4,4,16,4,-0.195426314145,-0.156956285115,1,3.44230769231
52,0,160,10,3,3,3,3,12,0,481,4,1,1,0,150,1,1,1,0,1,15,4,4,16,4,0.0310516347742,-5.41252917555e-05,1,3.07692307692
51,0,143,-32,4,1,3,0,61,-1,67,0,1,0,0,175,1,1,1,1,1,16,3,3,15,3,0.179760102012,0.204314973223,1,2.80392156863
52,0,186,-4,2,1,3,-1,86,-3,2139,4,1,1,0,190,1,1,1,1,1,15,4,4,16,4,0.440846073701,0.409740313636,1,3.57692307692
51,0,77,-1,0,0,0,0,-1,0,-81,-6,0,0,0,78,1,0,0,0,1,16,3,3,15,3,-0.229831209535,-0.121785391409,1,1.50980392157
47,1,122,2,3,-6,3,0,-31,0,122,0,1,0,0,120,1,1,1,0,1,20,5,11,11,23,-0.308308124709,-0.283753253498,1,2.59574468085
35,0,152,0,0,0,0,0,-13,0,82,0,0,0,0,152,1,0,0,0,1,32,5,11,17,11,-0.204640310553,-0.180085439342,1,4.34285714286
47,1,0,-26,0,0,0,0,-7,0,0,-53,0,0,1,26,1,0,0,0,0,20,5,11,11,23,-0.913033303184,-0.150975067557,1,0.0
13,1,122,31,6,4,3,0,94,4,-1,-9,1,0,0,91,1,1,1,1,1,54,1,1,13,13,0.513209730349,0.663001021932,0,9.38461538462
48,0,108,33,0,0,0,0,6,0,993,31,0,0,0,75,1,0,0,0,1,19,0,0,12,0,0.411751400246,0.00493637906259,1,2.25
47,0,101,39,0,0,0,0,24,1,-2,2,0,0,0,62,1,0,0,1,1,20,5,11,11,23,0.0897850574359,0.0865096130083,1,2.14893617021
45,0,1,-70,0,0,0,0,-7,-1,0,3,0,0,0,71,1,0,0,1,0,22,3,9,9,21,-0.187425551874,-0.204616154121,1,0.0222222222222
44,1,0,-12,0,0,0,0,-1,0,0,-90,0,0,1,12,1,0,0,0,0,23,2,8,8,20,-1.39228081293,-0.115361737997,1,0.0
45,0,161,-10,0,0,0,0,-10,-4,71,0,0,0,0,171,1,0,0,1,1,22,3,9,9,21,-0.402270340022,-0.377715468812,1,3.57777777778
41,0,0,0,0,0,0,0,0,0,5,31,0,0,1,0,0,0,0,0,1,26,5,5,5,17,0.297785359929,-0.109029661255,1,0.0
42,1,26,-13,0,0,0,0,0,0,16,-5,0,0,0,39,1,0,0,0,1,25,0,6,6,18,-0.202287973567,-0.10815731326,1,0.619047619048
45,0,138,4,0,0,0,0,-8,0,534,-29,0,0,0,134,1,0,0,0,1,22,3,9,9,21,-0.542656540547,-0.114562092581,1,3.06666666667
44,0,128,35,0,-3,0,-3,-7,1,0,-15,0,1,0,93,1,0,1,1,0,23,2,8,8,20,-0.330616219491,-0.097333980993,1,2.90909090909
43,0,101,84,0,0,0,0,6,1,38,30,0,0,0,17,1,0,0,1,1,24,1,7,7,19,0.375741662217,-0.0171582011477,1,2.3488372093
44,0,74,-38,0,0,0,0,0,-2,243,0,0,0,0,112,1,0,0,1,1,23,2,8,8,20,-0.221992267172,-0.197437395961,1,1.68181818182
44,0,105,-5,0,0,0,0,1,0,669,18,0,0,0,110,1,0,0,0,1,23,2,8,8,20,0.175481960314,-0.0504360092199,1,2.38636363636
44,0,180,2,0,0,0,0,36,5,-1698,0,0,0,0,178,1,0,0,1,1,23,2,8,8,20,0.213245547332,0.237800418542,1,4.09090909091
38,1,116,1,1,0,3,0,41,1,0,-26,1,0,0,115,1,1,0,1,0,29,2,2,2,14,-0.198776319021,0.187572655488,1,3.05263157895
41,1,8,0,0,0,0,0,0,0,0,31,0,0,0,8,1,0,0,0,0,26,5,5,5,17,0.297388838113,-0.10942618307,1,0.19512195122
43,0,105,0,0,0,0,0,-4,0,0,-2,0,0,0,105,1,0,0,0,0,24,1,7,7,19,-0.185553589626,-0.133168402777,1,2.44186046512
43,0,68,-1,0,0,0,0,3,0,0,-67,0,0,0,69,1,0,0,0,0,24,1,7,7,19,-1.04848996339,-0.09161951829,1,1.58139534884
42,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,25,0,6,6,18,0.297388838113,-0.10942618307,1,0.0
42,0,105,5,0,0,0,0,-9,0,0,0,0,0,0,100,1,0,0,0,0,25,0,6,6,18,-0.187401048621,-0.16284617741,1,2.5
40,0,107,-7,1,1,3,3,-33,-4,-22,-3,1,1,0,114,1,1,1,1,1,27,4,4,4,16,-0.587908882564,-0.521608537895,0,2.675
40,1,130,0,1,1,3,3,-7,0,-87,4,1,1,0,130,1,1,1,0,1,27,4,4,4,16,-0.126768787082,-0.157874547148,1,3.25
36,1,105,-1,0,0,0,0,26,0,-61,-1,0,0,0,106,1,0,0,0,1,31,0,0,0,12,0.00159064984411,0.040060678874,1,2.91666666667
13,0,3,0,2,1,3,3,19,0,0,-16,1,1,0,3,1,1,1,0,0,54,1,1,13,13,-0.24384803578,0.00334936053714,1,0.230769230769
14,0,165,67,2,1,3,0,97,15,-1,-9,1,0,0,98,1,1,1,1,1,53,2,2,14,14,1.12106834733,1.27085963892,0,11.7857142857
14,0,36,-44,0,-1,0,-3,6,0,150,2,0,1,0,80,1,0,1,0,1,53,2,2,14,14,-0.0586417546152,-0.0619171990428,1,2.57142857143
12,1,143,37,0,0,0,0,50,3,18,28,0,0,0,106,1,0,0,1,1,55,0,0,12,12,0.714771849219,0.349702301493,1,11.9166666667
14,0,109,-3,0,0,0,0,2,0,463,9,0,0,0,112,1,0,0,0,1,53,2,2,14,14,0.039844396067,-0.0608371530948,1,7.78571428571
