ID,Longevity - Months,Churn,Happiness Index - Current Month,Happiness Index - Change,Support Cases - Current Month,Support Cases - Change,Support Priority - Current Month,Support Priority - Change,Logins - Change,Blogs - Change,Views - Change,Days Since Last Login - Change,Happiness Index - Monthly,Longevity - Modulo 6,Longevity - Modulo 12,Longevity - Modulo 18,Longevity - Modulo 24,Customer Activity - Change
0,11.0,0,0.0,0.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0671982834283,31.0,0.0,5.0,11.0,11.0,11.0,-0.169324425345
1,11.0,0,62.0,4.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0903168898564,31.0,5.63636363636,5.0,11.0,11.0,11.0,-0.177030627488
2,11.0,0,0.0,0.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0671982834283,31.0,0.0,5.0,11.0,11.0,11.0,-0.169324425345
3,11.0,0,231.0,1.0,1,1,1,0,0.143928556723,-4.21254961827,0.0719620589893,0.0,21.0,5.0,11.0,11.0,11.0,-1.33221966752
4,11.0,0,43.0,-1.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0541940673125,31.0,3.90909090909,5.0,11.0,11.0,11.0,-0.16498968664
5,11.0,0,138.0,-10.0,0,0,0,0,1.11890808063,-0.0224298343162,-0.114880409186,0.0,12.5454545455,5.0,11.0,11.0,11.0,0.327199279041
6,11.0,0,180.0,-5.0,1,1,1,1,0.0464058209169,-0.546194807311,1.24333771846,0.0,16.3636363636,5.0,11.0,11.0,11.0,0.247849577357
7,11.0,0,116.0,-11.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0122915931615,6.0,10.5454545455,5.0,11.0,11.0,11.0,-0.151022195256
8,11.0,0,78.0,-7.0,1,1,1,0,-0.740095836203,0.501335138678,-0.0671982834283,7.0,7.09090909091,5.0,11.0,11.0,11.0,-0.101986326984
9,11.0,0,78.0,-37.0,0,0,0,0,-0.668595685556,-0.0224298343162,-0.0238508963756,14.0,7.09090909091,5.0,11.0,11.0,11.0,-0.238292138749
10,11.0,0,91.0,-1.0,0,0,0,0,0.0821558962406,1.54886508467,-0.0671982834283,0.0,8.27272727273,5.0,11.0,11.0,11.0,0.521274232493
11,11.0,0,40.0,14.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0455245899019,31.0,3.63636363636,5.0,11.0,11.0,11.0,-0.162099860836
12,11.0,0,215.0,15.0,0,0,0,0,2.11991018969,4.69145492264,0.0719620589893,0.0,19.5454545455,5.0,11.0,11.0,11.0,2.29444239044
13,11.0,0,0.0,0.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0671982834283,31.0,0.0,5.0,11.0,11.0,11.0,-0.169324425345
14,11.0,0,118.0,63.0,0,0,0,0,-0.239594781672,0.501335138678,1.37049005382,0.0,10.7272727273,5.0,11.0,11.0,11.0,0.544076803609
15,11.0,0,59.0,16.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0614186318212,31.0,5.36363636364,5.0,11.0,11.0,11.0,-0.167397874809
16,11.0,0,67.0,25.0,0,0,0,0,-0.275344856996,-0.0224298343162,0.044060010007,31.0,6.09090909091,5.0,11.0,11.0,11.0,-0.084571560435
17,11.0,0,0.0,0.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0700881092318,31.0,0.0,5.0,11.0,11.0,11.0,-0.170287700613
18,11.0,0,87.0,-4.0,1,0,1,0,0.797157402713,3.12016000365,0.148093738933,0.0,7.90909090909,5.0,11.0,11.0,11.0,1.35513704843
19,11.0,0,89.0,-12.0,1,1,1,1,-1.88409824656,-4.21254961827,-0.109100757579,0.0,8.09090909091,5.0,11.0,11.0,11.0,-2.06858287414
20,11.0,0,0.0,0.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0671982834283,31.0,0.0,5.0,11.0,11.0,11.0,-0.169324425345
21,11.0,0,142.0,1.0,0,0,0,0,0.511156800124,0.501335138678,-0.0729779350353,13.0,12.9090909091,5.0,11.0,11.0,11.0,0.313171334589
22,11.0,0,86.0,10.0,0,0,0,0,-0.346845007643,-0.0224298343162,-0.143778667221,-31.0,7.81818181818,5.0,11.0,11.0,11.0,-0.171017836394
23,11.0,0,100.0,5.0,0,1,0,1,-0.41834515829,-0.0224298343162,-0.0787575866423,2.0,9.09090909091,5.0,11.0,11.0,11.0,-0.173177526416
24,11.0,0,103.0,-12.0,0,0,0,0,-0.632845610232,-0.546194807311,-0.00940176735801,-1.0,9.36363636364,5.0,11.0,11.0,11.0,-0.396147394967
25,11.0,0,75.0,0.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0527491544107,30.0,6.81818181818,5.0,11.0,11.0,11.0,-0.164508049006
26,11.0,0,182.0,8.0,1,1,1,1,0.940157704008,0.501335138678,0.90233827365,0.0,16.5454545455,5.0,11.0,11.0,11.0,0.781277038779
27,11.0,0,230.0,0.0,0,0,0,0,2.5846611689,1.54886508467,0.0719620589893,0.0,20.9090909091,5.0,11.0,11.0,11.0,1.40182943752
28,11.0,0,179.0,-22.0,1,1,1,0,-0.060844405054,-1.06995978031,-0.0599737189195,-1.0,16.2727272727,5.0,11.0,11.0,11.0,-0.396925968093
29,11.0,0,48.0,-10.0,0,0,0,0,-0.954596288145,-0.0224298343162,-0.0498593286072,-18.0,4.36363636364,5.0,11.0,11.0,11.0,-0.342295150356
30,11.0,0,99.0,-6.0,0,0,0,0,-0.70434576088,-0.0224298343162,-0.100431280169,-31.0,9.0,5.0,11.0,11.0,11.0,-0.275735625121
31,32.0,0,67.0,28.0,0,0,0,0,-0.41834515829,-0.0224298343162,-0.0671982834283,31.0,2.09375,2.0,8.0,14.0,8.0,-0.169324425345
32,11.0,0,160.0,10.0,1,1,1,1,0.0106557455933,-0.0224298343162,0.627804822317,4.0,14.5454545455,5.0,11.0,11.0,11.0,0.205343577865
33,11.0,0,91.0,50.0,1,1,1,0,0.511156800124,-0.0224298343162,-0.0671982834283,-11.0,8.27272727273,5.0,11.0,11.0,11.0,0.140509560793
34,11.0,0,105.0,1.0,0,0,0,0,0.0821558962406,0.501335138678,-0.0671982834283,0.0,9.54545454545,5.0,11.0,11.0,11.0,0.17209758383
35,11.0,0,93.0,-29.0,0,0,0,0,-0.668595685556,0.501335138678,6.6978839226,0.0,8.45454545455,5.0,11.0,11.0,11.0,2.17687445857
36,11.0,0,143.0,-32.0,1,1,1,0,1.76240943645,-0.546194807311,0.0296108809894,0.0,13.0,5.0,11.0,11.0,11.0,0.415275170043
37,11.0,0,108.0,40.0,1,1,1,1,1.11890808063,-0.0224298343162,-0.0440796770002,0.0,9.81818181818,5.0,11.0,11.0,11.0,0.350799523103
38,11.0,0,168.0,-5.0,1,1,1,0,1.79815951178,1.02510011167,0.783855415706,-31.0,15.2727272727,5.0,11.0,11.0,11.0,1.20237167972
